,distance_haversine,trip_direction,Fare,Additional Charges,work_day,month,hour,hour_temp,hour_wind,rain,metro_x,metro_y,pick_dist_dt,drop_dist_dt,pct_bach_x,median_income_x,sex_ratio_x,pct_non_white_x,pct_age_18_29_x,pct_no_car_x,pct_bach_y,median_income_y,sex_ratio_y,pct_non_white_y,median_age_y,pct_no_car_y,residential_den_x,empoloyment_den_x,network_den_x,dist_to_tran_x,walkability_x,residential_den_y,empoloyment_den_y,network_den_y,dist_to_tran_y,walkability_y
126064,6.273930416709224,148.97397312328425,12.5,2.55,1,12,18,24.0,10.0,0,0,1,1.0683666025646807,6.780874966293867,41.0,106840,90.4,15.400000000000004,25.083612040133783,14.5,43.7,116909,92.3,24.099999999999994,38.1,42.3,1.5384317026011185,1.3579433268888246,2.9903367570246235,232.90666666666667,14.333333333333336,-1.5746798528603168,-0.1882143687453562,1.1431056366278582,377.6207142857143,10.62
596247,1.9239294954535082,149.4747620158392,5.0,2.55,0,6,15,66.0,8.0,0,0,0,7.070335522433375,8.597658248635902,33.2,107500,138.6,9.099999999999994,48.36838288614939,28.1,38.4,65426,76.0,8.799999999999997,33.4,45.0,-1.765700000967041,-1.5158163342996511,1.1512180599097197,508.413870967742,10.301724137931034,-2.3209922823700917,-3.3885815162236677,-0.2470964900525235,261.4293333333333,11.342105263157894
1465793,4.147498634253755,-107.14898320781029,5.0,0.72,1,5,20,41.0,9.0,0,1,0,7.2644184054031244,11.066817715208416,8.1,18983,99.2,99.1,17.094861660079054,41.1,33.3,97786,109.1,81.8,40.8,13.3,-2.1814919510460675,-3.1823943043144736,0.6495219026847957,551.3133333333333,9.901960784313724,-0.3729997761767232,-1.4394089243501982,1.9061839811465149,400.66,11.972222222222221
729408,19.40526010605609,-67.11387388408053,20.0,2.55,0,2,19,25.0,5.0,0,0,0,5.316874202780512,14.092771840728854,14.7,49413,89.0,98.9,16.124469589816126,28.7,48.0,112788,113.6,16.0,29.9,24.0,1.6989115584383774,1.0342259219281256,3.1589621081776027,363.29333333333335,13.75925925925926,-0.5122088971123457,-1.8225970239135447,1.3220043505610166,212.23,7.53921568627451
87417,2.4479965023740955,-152.24238846740843,7.5,2.55,1,11,8,1.0,15.0,0,0,0,9.749446256004253,9.450919588683831,29.2,112386,101.3,18.900000000000013,11.99847153228888,14.5,35.1,92593,87.5,13.700000000000005,34.8,13.9,1.2226446284863992,2.0000150876295755,3.1578451801616203,298.264,15.3,-3.0946133864330663,-3.7301718664841546,0.7815552652462322,420.93266666666665,7.168859649122808
1331751,3.6593155668260735,-159.1931450636281,5.0,2.55,1,6,11,67.0,8.0,0,0,0,7.7366458646611855,8.72515052704809,13.4,55194,90.2,25.099999999999994,29.114653351257925,28.6,40.2,158125,99.5,20.0,33.0,10.7,0.5807004353765094,0.5711237253855437,2.4888407372124544,500.6855555555555,10.84375,0.9280528317323984,1.9337901156152708,3.0846265788717417,358.4454545454545,15.0
439209,1.217538878176172,2.1762761939153705,5.0,2.55,1,9,23,44.0,7.0,0,1,1,3.0031628599519093,2.2474063365515717,35.4,128243,107.1,14.599999999999996,24.458110696642805,27.2,30.9,104423,88.0,35.2,31.4,20.2,-0.7007188575579879,0.1802263447428147,1.4527003679120625,275.3755555555556,11.5679012345679,1.236782554130366,1.4457092486063157,2.628420853785141,171.66,12.166666666666668
737298,7.560655903422005,90.32260687695002,10.0,2.55,1,3,21,15.0,0.0,0,0,1,3.8808259597283183,11.023154551722698,20.3,41445,93.1,43.6,15.228826933193055,45.3,21.8,99440,86.3,25.90000000000001,34.9,25.0,-1.6355501076352783,-1.5479919492814762,1.280132283884835,340.1855263157894,9.301136363636363,1.5803802812982484,3.1850715026539937,3.086486567276955,310.8025,16.5
747114,5.768582686414063,-87.2681692372585,10.0,2.55,1,4,7,35.0,22.0,0,0,0,8.40189387899318,2.8574576376868293,25.6,158375,95.1,50.9,21.885157096424702,23.4,28.5,59942,96.2,17.299999999999994,34.8,52.6,-1.3063478508288011,-2.1929646883020157,1.4317836525951106,351.10600000000005,8.866666666666667,-1.3633733439784357,-2.1115119483625593,1.1358321861776683,444.2192307692309,8.949494949494948
1248631,5.325479145770826,57.20116683588617,10.0,0.0,1,6,0,49.0,3.0,0,0,0,5.288026444377758,7.788290410040492,26.7,94500,126.4,11.099999999999996,46.235418875927884,43.6,26.2,93980,101.1,13.099999999999996,33.6,10.5,-1.6533612727594298,-1.3538966536190058,1.1175179940294728,244.30666666666664,8.972222222222221,2.5489493899505016,1.7106824279450452,3.1808290675775126,137.59799999999998,14.866666666666665
