state,county,tract,NAME,pct_bach,median_income,total_pop,sex_ratio,pct_white,median_age,pct_no_car,pct_unemp,age_18_29,pct_age_18_29
17,031,824300,"Census Tract 8243, Cook County, Illinois",6.5,26342,4724,95.6,10.3,37.2,23.3,6.6,950,20.11007620660457
17,031,825504,"Census Tract 8255.04, Cook County, Illinois",3.0,45729,3949,108.8,7.7,38.5,4.9,8.6,582,14.737908331223096
17,031,825700,"Census Tract 8257, Cook County, Illinois",6.4,43983,4189,96.4,31.6,35.5,14.0,10.0,738,17.617569825734066
17,031,825803,"Census Tract 8258.03, Cook County, Illinois",9.6,47423,5886,93.0,12.1,43.3,21.5,6.9,1010,17.15936119605844
17,031,826303,"Census Tract 8263.03, Cook County, Illinois",7.4,46837,4578,90.3,5.6,37.5,7.4,15.9,784,17.12538226299694
17,031,827300,"Census Tract 8273, Cook County, Illinois",2.5,21015,2763,99.8,14.2,33.7,25.1,3.1,428,15.490408975750997
17,031,828503,"Census Tract 8285.03, Cook County, Illinois",1.7,38918,4472,112.7,25.4,31.3,5.5,10.9,745,16.659212880143112
17,031,640400,"Census Tract 6404, Cook County, Illinois",5.9,68902,3701,107.7,74.4,38.0,6.4,3.8,518,13.996217238584165
17,031,660400,"Census Tract 6604, Cook County, Illinois",0.4,43772,6034,87.0,39.9,29.5,16.3,9.1,1323,21.925754060324827
17,031,660800,"Census Tract 6608, Cook County, Illinois",2.3,36783,4887,82.6,20.7,31.3,31.0,10.8,908,18.57990587272355
17,031,671300,"Census Tract 6713, Cook County, Illinois",3.0,28466,1905,87.1,0.1,40.6,36.3,16.2,171,8.976377952755906
17,031,825302,"Census Tract 8253.02, Cook County, Illinois",8.7,62214,6595,95.7,77.0,37.8,3.1,4.5,821,12.44882486732373
17,031,826500,"Census Tract 8265, Cook County, Illinois",7.7,41653,6330,79.2,7.6,36.2,11.7,13.2,1286,20.315955766192733
17,031,826700,"Census Tract 8267, Cook County, Illinois",3.6,31725,5035,82.8,3.2,36.2,23.4,12.8,766,15.213505461767626
17,031,827100,"Census Tract 8271, Cook County, Illinois",2.4,28405,2538,86.6,8.6,39.1,23.7,5.7,529,20.843183609141054
17,031,828000,"Census Tract 8280, Cook County, Illinois",6.1,43429,5150,75.5,55.6,40.1,10.1,7.1,898,17.436893203883493
17,031,828202,"Census Tract 8282.02, Cook County, Illinois",5.3,59935,4549,72.6,46.6,42.5,9.3,6.1,724,15.915585843042427
17,031,829302,"Census Tract 8293.02, Cook County, Illinois",5.2,26167,3542,79.6,12.3,29.4,14.8,4.3,871,24.59062676453981
17,031,300900,"Census Tract 3009, Cook County, Illinois",0.8,26833,4402,95.6,48.1,30.4,20.0,2.8,766,17.401181281235804
17,031,301200,"Census Tract 3012, Cook County, Illinois",0.9,27328,4087,101.8,47.3,26.6,21.7,6.4,790,19.32958160019574
17,031,031100,"Census Tract 311, Cook County, Illinois",18.3,68304,5059,102.5,72.6,35.4,31.6,4.2,1169,23.107333465111683
17,031,050100,"Census Tract 501, Cook County, Illinois",34.4,114012,2731,109.0,81.8,34.4,18.0,2.6,418,15.305748809959722
17,031,050700,"Census Tract 507, Cook County, Illinois",40.4,124500,1610,86.3,94.9,32.7,9.1,1.2,310,19.25465838509317
17,031,062100,"Census Tract 621, Cook County, Illinois",26.7,94500,3772,126.4,88.9,28.7,43.6,3.8,1744,46.23541887592789
17,031,620100,"Census Tract 6201, Cook County, Illinois",3.5,56339,4819,87.5,50.0,34.4,5.5,7.7,804,16.68395932766134
17,031,630800,"Census Tract 6308, Cook County, Illinois",2.3,45046,7111,99.3,39.8,28.7,13.8,8.7,1592,22.387849810153284
17,031,630200,"Census Tract 6302, Cook County, Illinois",1.2,35707,2045,89.2,71.3,28.4,20.5,6.8,442,21.613691931540345
17,031,580700,"Census Tract 5807, Cook County, Illinois",1.5,44986,6238,93.4,50.0,28.1,14.1,7.0,1474,23.62936838730362
17,031,590600,"Census Tract 5906, Cook County, Illinois",7.3,40536,3678,103.8,42.7,30.9,20.6,9.2,827,22.48504622077216
17,031,600700,"Census Tract 6007, Cook County, Illinois",4.3,35523,2579,134.0,55.2,41.2,28.5,9.3,537,20.822024040325708
17,031,611900,"Census Tract 6119, Cook County, Illinois",2.6,25321,1729,92.3,8.0,29.2,55.0,12.4,292,16.888374783111626
17,031,222200,"Census Tract 2222, Cook County, Illinois",35.0,134500,2226,102.9,82.7,30.7,15.3,4.8,615,27.628032345013477
17,031,222500,"Census Tract 2225, Cook County, Illinois",14.6,79250,1748,108.8,87.8,32.5,14.8,5.3,364,20.823798627002287
17,031,222800,"Census Tract 2228, Cook County, Illinois",11.0,42039,968,96.3,72.1,29.9,25.8,3.2,271,27.99586776859504
